date,Account,sentiment_category,daily_pnl,median_position_size,trade_count,win_rate,long_ratio,sentiment_value,estimated_volume,pnl_per_dollar,cluster,archetype,profit_binary,target_next_day_profit
2024-11-11,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,0.0,2736.64,177,0.0,0.0,76.0,484385.27999999997,0.0,0,The Whales,0,0.0
2024-11-17,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,0.0,2340.0,68,0.0,0.0,90.0,159120.0,0.0,0,The Whales,0,0.0
2024-11-18,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,0.0,3594.51,40,0.0,0.0,83.0,143780.40000000002,0.0,0,The Whales,0,0.0
2024-11-22,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-21227.0,29307.14,12,0.0,1.0,94.0,351685.68,-0.060357874110768456,0,The Whales,0,1.0
2024-11-26,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,1603.1,8898.3,27,0.4444444444444444,0.4444444444444444,79.0,240254.09999999998,0.006672518804049546,2,The Gamblers,1,0.0
2024-11-28,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-132271.0,6309.9400000000005,82,0.0,1.0,77.0,517415.08,-0.25563808461090853,0,The Whales,0,0.0
2024-11-30,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,0.0,29999.75,23,0.0,0.0,84.0,689994.25,0.0,0,The Whales,0,0.0
2024-12-06,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-175611.00005600002,796.08,33,0.0,1.0,72.0,26270.640000000003,-6.684686785552236,0,The Whales,0,1.0
2025-01-19,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,71393.964098,1097.2,465,0.04946236559139785,0.24086021505376345,77.0,510198.0,0.1399338376434247,0,The Whales,1,1.0
2025-01-20,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,40218.599998,1170.0,51,0.5490196078431373,0.5490196078431373,76.0,59670.0,0.6740170939835763,2,The Gamblers,1,1.0
2025-02-02,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,76710.0,21499.760000000002,10,0.9,0.9,60.0,214997.60000000003,0.356794680498759,2,The Gamblers,1,1.0
2025-02-03,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,101011.685664,1008.71,839,0.30512514898688914,0.4171632896305125,44.0,846307.6900000001,0.1193557459746112,2,The Gamblers,1,1.0
2025-02-04,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,375620.270243,844.0,531,0.15630885122410546,0.20903954802259886,72.0,448164.0,0.8381312873033087,0,The Whales,1,1.0
2025-02-05,0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,44400.9058,12560.925,210,0.37142857142857144,0.37142857142857144,54.0,2637794.25,0.016832588743416966,2,The Gamblers,1,1.0
2025-02-09,0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,30897.0887,1000.72,141,0.9361702127659575,0.9361702127659575,46.0,141101.52,0.21897062979902698,2,The Gamblers,1,1.0
2025-02-10,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,55086.0,14475.67,48,0.3333333333333333,0.3333333333333333,43.0,694832.16,0.07927957738743699,0,The Whales,1,0.0
2025-02-11,0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,0.0,96691.795,6,0.0,0.0,47.0,580150.77,0.0,0,The Whales,0,1.0
